,artist,track,length,genre,date_entered,date_peaked,weeks_on_chart,best_ranking,weeks_to_peak,Week,Ranking
0,Destiny's Child,Independent Women Part I,3.63333333333,Rock,2000-09-23,2000-11-18,28,1.0,8.0,1st_week,78.0
1,Santana,"Maria, Maria",4.3,Rock,2000-02-12,2000-04-08,26,1.0,8.0,1st_week,15.0
2,Savage Garden,I Knew I Loved You,4.11666666667,Rock,1999-10-23,2000-01-29,33,1.0,14.0,1st_week,71.0
3,Madonna,Music,3.75,Rock,2000-08-12,2000-09-16,24,1.0,5.0,1st_week,41.0
4,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3.63333333333,Rock,2000-08-05,2000-10-14,21,1.0,10.0,1st_week,57.0
5,Janet,Doesn't Really Matter,4.28333333333,Rock,2000-06-17,2000-08-26,24,1.0,10.0,1st_week,59.0
6,Destiny's Child,Say My Name,4.51666666667,Rock,1999-12-25,2000-03-18,32,1.0,12.0,1st_week,83.0
7,"Iglesias, Enrique",Be With You,3.6,Latin,2000-04-01,2000-06-24,20,1.0,12.0,1st_week,63.0
8,Sisqo,Incomplete,3.86666666667,Rock,2000-06-24,2000-08-12,26,1.0,7.0,1st_week,77.0
9,Lonestar,Amazed,4.41666666667,Country,1999-06-05,2000-03-04,55,1.0,39.0,1st_week,81.0
10,N'Sync,It's Gonna Be Me,3.16666666667,Rock,2000-05-06,2000-07-29,25,1.0,12.0,1st_week,82.0
11,"Aguilera, Christina",What A Girl Wants,3.3,Rock,1999-11-27,2000-01-15,24,1.0,7.0,1st_week,71.0
12,Vertical Horizon,Everything You Want,4.01666666667,Rock,2000-01-22,2000-07-15,41,1.0,25.0,1st_week,70.0
13,Creed,With Arms Wide Open,3.86666666667,Rock,2000-05-13,2000-11-11,47,1.0,26.0,1st_week,84.0
14,Aaliyah,Try Again,4.05,Rock,2000-03-18,2000-06-17,32,1.0,13.0,1st_week,59.0
15,matchbox twenty,Bent,4.2,Rock,2000-04-29,2000-07-22,39,1.0,12.0,1st_week,60.0
16,"Carey, Mariah",Thank God I Found You,4.23333333333,Rock,1999-12-11,2000-02-19,20,1.0,10.0,1st_week,82.0
17,"Hill, Faith",Breathe,4.06666666667,Rap,1999-11-06,2000-04-22,53,2.0,24.0,1st_week,81.0
18,Mya,Case Of The Ex (Whatcha Gonna Do),3.83333333333,Rock,2000-08-19,2000-12-02,30,2.0,15.0,1st_week,72.0
19,Dream,He Loves U Not,3.71666666667,Rock,2000-09-30,2000-12-30,28,2.0,13.0,1st_week,99.0
20,"Braxton, Toni",He Wasn't Man Enough,4.35,Rock,2000-03-18,2000-05-06,37,2.0,7.0,1st_week,63.0
21,"Anthony, Marc",You Sang To Me,3.83333333333,Latin,2000-02-26,2000-06-03,32,2.0,14.0,1st_week,77.0
22,98¡,Give Me Just One Night (Una Noche),3.4,Rock,2000-08-19,2000-09-30,20,2.0,6.0,1st_week,51.0
23,Destiny's Child,Jumpin' Jumpin',3.8,Rock,2000-05-13,2000-08-19,32,3.0,14.0,1st_week,74.0
24,3 Doors Down,Kryptonite,3.88333333333,Rock,2000-04-08,2000-11-11,53,3.0,31.0,1st_week,81.0
25,Sisqo,Thong Song,4.08333333333,Rock,2000-01-29,2000-05-20,28,3.0,16.0,1st_week,74.0
26,"Aguilera, Christina",I Turn To You,4.0,Rock,2000-04-15,2000-07-01,22,3.0,11.0,1st_week,50.0
27,"Houston, Whitney",My Love Is Your Love,4.26666666667,Rock,1999-09-04,2000-01-08,28,4.0,18.0,1st_week,81.0
28,Joe,I Wanna Know,4.95,Rock,2000-01-01,2000-07-01,44,4.0,26.0,1st_week,94.0
29,"Jordan, Montell",Get It On.. Tonite,4.56666666667,Rap,1999-10-23,2000-02-12,32,4.0,16.0,1st_week,92.0
30,N'Sync,Bye Bye Bye,3.25,Rock,2000-01-29,2000-04-15,23,4.0,11.0,1st_week,42.0
31,Eminem,The Real Slim Shady,4.7,Rap,2000-05-06,2000-06-24,19,4.0,7.0,1st_week,70.0
32,Pink,Most Girls,4.1,Rock,2000-08-12,2000-11-25,27,4.0,15.0,1st_week,85.0
33,"Mumba, Samantha",Gotta Tell You,3.31666666667,Rock,2000-09-09,2000-12-09,22,4.0,13.0,1st_week,85.0
34,Blaque,Bring It All To Me,3.76666666667,Pop,1999-10-23,2000-01-22,29,5.0,13.0,1st_week,73.0
35,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3.85,Rap,1999-11-27,2000-01-08,21,5.0,6.0,1st_week,36.0
36,"Gray, Macy",I Try,3.86666666667,Rock,2000-02-19,2000-05-20,27,5.0,13.0,1st_week,68.0
37,N'Sync,This I Promise You,4.38333333333,Rock,2000-09-30,2000-12-02,26,5.0,9.0,1st_week,68.0
38,Ruff Endz,No More,3.93333333333,Rock,2000-07-01,2000-09-02,26,5.0,9.0,1st_week,76.0
39,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3.9,Rock,2000-01-01,2000-03-18,24,6.0,11.0,1st_week,74.0
40,Nine Days,Absolutely (Story Of A Girl),3.15,Rock,2000-05-06,2000-07-22,27,6.0,11.0,1st_week,85.0
41,"Dion, Celine",That's The Way It Is,4.05,Rock,1999-11-13,2000-03-04,28,6.0,16.0,1st_week,74.0
42,Blink-182,All The Small Things,2.86666666667,Rock,1999-12-04,2000-02-19,23,6.0,11.0,1st_week,89.0
43,Eiffel 65,Blue (Da Ba Dee),3.48333333333,Electronica,1999-12-11,2000-01-29,20,6.0,7.0,1st_week,67.0
44,"Badu, Erkyah",Bag Lady,5.05,Rock,2000-08-19,2000-10-07,20,6.0,7.0,1st_week,67.0
45,Pink,There U Go,3.38333333333,Rock,2000-03-04,2000-04-08,32,7.0,5.0,1st_week,25.0
46,Creed,Higher,5.26666666667,Rock,1999-09-11,2000-07-22,57,7.0,45.0,1st_week,81.0
47,Nelly,(Hot S**t) Country Grammar,4.28333333333,Rap,2000-04-29,2000-09-16,34,7.0,20.0,1st_week,100.0
48,Next,Wifey,4.05,Rock,2000-05-27,2000-09-09,21,7.0,15.0,1st_week,85.0
49,Kenny G,Auld Lang Syne (The Millenium Mix),7.83333333333,Jazz,1999-12-25,2000-01-08,5,7.0,2.0,1st_week,89.0
50,Sonique,It Feels So Good,3.8,Rock,2000-01-22,2000-04-22,24,8.0,13.0,1st_week,67.0
51,"Spears, Britney",Oops!.. I Did It Again,3.5,Rock,2000-04-22,2000-06-10,20,9.0,7.0,1st_week,67.0
52,"Backstreet Boys, The",Shape Of My Heart,3.81666666667,Rock,2000-10-14,2000-12-02,20,9.0,7.0,1st_week,39.0
53,Everclear,Wonderful,4.5,Rock,2000-07-08,2000-09-30,21,11.0,12.0,1st_week,77.0
54,Ja Rule,Between Me And You,4.08333333333,Rap,2000-09-16,2000-11-18,20,11.0,9.0,1st_week,85.0
55,"Rimes, LeAnn",I Need You,3.7,Country,2000-05-27,2000-08-12,25,11.0,11.0,1st_week,77.0
56,Smash Mouth,Then The Morning Comes,3.06666666667,Rock,1999-10-30,2000-01-29,26,11.0,13.0,1st_week,83.0
57,Jay-Z,I Just Wanna Love U (Give It 2 Me),3.83333333333,Rap,2000-10-28,2000-12-30,21,11.0,9.0,1st_week,58.0
58,Jagged Edge,Let's Get Married,4.38333333333,Rock,2000-05-06,2000-07-29,24,11.0,12.0,1st_week,77.0
59,Filter,Take A Picture,4.38333333333,Rock,1999-11-27,2000-02-05,20,12.0,10.0,1st_week,91.0
60,"Martin, Ricky",She Bangs,4.03333333333,Latin,2000-10-07,2000-12-02,18,12.0,8.0,1st_week,38.0
61,Mystikal,Shake Ya Ass,4.76666666667,Rap,2000-08-12,2000-10-28,20,13.0,11.0,1st_week,97.0
62,BBMak,Back Here,3.58333333333,Rock,2000-04-29,2000-07-29,31,13.0,13.0,1st_week,99.0
63,"Spears, Britney",From The Bottom Of My Broken Heart,4.5,Rock,2000-01-29,2000-02-26,20,14.0,4.0,1st_week,76.0
64,Third Eye Blind,Never Let You Go,3.95,Rock,2000-01-22,2000-04-01,22,14.0,10.0,1st_week,65.0
65,Red Hot Chili Peppers,Otherside,4.21666666667,Rock,2000-02-12,2000-05-27,22,14.0,15.0,1st_week,80.0
66,Profyle,Liar,3.95,R&B,2000-09-16,2000-10-28,20,14.0,6.0,1st_week,52.0
67,Barenaked Ladies,Pinch Me,3.76666666667,Rock,2000-09-09,2000-11-25,21,15.0,11.0,1st_week,77.0
68,Jagged Edge,He Can't Love U,3.5,Rock,1999-12-11,2000-01-08,20,15.0,4.0,1st_week,54.0
69,504 Boyz,Wobble Wobble,3.58333333333,Rap,2000-04-15,2000-05-06,18,17.0,3.0,1st_week,57.0
70,Sting,Desert Rose,3.86666666667,Rock,2000-05-13,2000-08-26,26,17.0,15.0,1st_week,98.0
71,Jay-Z,Big Pimpin',3.91666666667,Rap,2000-04-22,2000-07-08,20,18.0,11.0,1st_week,69.0
72,Kid Rock,Only God Knows Why,5.45,Rock,2000-02-19,2000-04-15,20,19.0,8.0,1st_week,63.0
73,Foo Fighters,Learn To Fly,3.91666666667,Rock,1999-10-16,2000-01-22,21,19.0,14.0,1st_week,80.0
74,"Dixie Chicks, The",Goodbye Earl,4.31666666667,Country,2000-03-18,2000-05-06,15,19.0,7.0,1st_week,40.0
75,Guy,Dancin',4.13333333333,R&B,1999-12-18,2000-01-01,11,19.0,2.0,1st_week,46.0
76,Lil Bow Wow,Bounce With Me,3.36666666667,Rap,2000-08-19,2000-09-16,20,20.0,4.0,1st_week,48.0
77,Westlife,Swear It Again,4.11666666667,Rock,2000-04-01,2000-07-01,20,20.0,13.0,1st_week,96.0
78,Train,Meet Virginia,3.91666666667,Rock,1999-10-09,2000-01-22,27,20.0,15.0,1st_week,76.0
79,"Thomas, Carl",I Wish,3.83333333333,Rock,2000-03-25,2000-05-13,20,20.0,7.0,1st_week,75.0
80,Hanson,This Time Around,4.23333333333,Country,2000-04-22,2000-05-06,7,20.0,2.0,1st_week,22.0
81,"Simpson, Jessica",I Think I'm In Love With You,3.53333333333,Pop,2000-07-01,2000-08-12,16,21.0,6.0,1st_week,63.0
82,Ludacris,What's Your Fantasy,4.26666666667,Rap,2000-09-30,2000-12-16,22,21.0,11.0,1st_week,89.0
83,Lil' Zane,Callin' Me,3.71666666667,Rap,2000-07-29,2000-09-02,13,21.0,5.0,1st_week,83.0
84,M2M,Don't Say You Love Me,3.68333333333,Pop,1999-11-20,2000-01-08,12,21.0,7.0,1st_week,72.0
85,SoulDecision,Faded,3.41666666667,Rock,2000-07-08,2000-09-09,24,22.0,9.0,1st_week,94.0
86,"Brock, Chad",Yes!,3.36666666667,Country,2000-04-08,2000-07-01,20,22.0,12.0,1st_week,90.0
87,"Martin, Ricky",Shake Your Bon-Bon,3.13333333333,Latin,1999-11-20,2000-02-12,18,22.0,12.0,1st_week,74.0
88,Vertical Horizon,You're A God,3.75,Rock,2000-08-26,2000-11-04,21,23.0,10.0,1st_week,64.0
89,Avant,Separated,4.21666666667,Rock,2000-04-29,2000-05-20,20,23.0,3.0,1st_week,62.0
90,"Rimes, LeAnn",Big Deal,3.05,Country,1999-10-16,2000-01-01,20,23.0,11.0,1st_week,71.0
91,IMx,Stay The Night,3.61666666667,Rap,1999-10-09,2000-01-08,20,23.0,13.0,1st_week,84.0
92,Dr. Dre,The Next Episode,2.63333333333,Rap,2000-05-27,2000-07-29,20,23.0,9.0,1st_week,78.0
93,"Spears, Britney",Lucky,3.38333333333,Rock,2000-08-12,2000-09-09,11,23.0,4.0,1st_week,61.0
94,Savage Garden,Crash And Burn,4.68333333333,Rock,2000-04-08,2000-05-27,20,24.0,7.0,1st_week,75.0
95,Kandi,Don't Think I'm Not,3.83333333333,Rock,2000-08-05,2000-10-07,24,24.0,9.0,1st_week,66.0
96,Sammie,I Like It,4.15,Rock,2000-01-29,2000-04-15,20,24.0,11.0,1st_week,85.0
97,Goo Goo Dolls,Broadway,3.9,Rock,2000-04-22,2000-07-01,20,24.0,10.0,1st_week,74.0
98,"Moore, Mandy",I Wanna Be With You,4.2,Pop,2000-06-17,2000-08-12,23,24.0,8.0,1st_week,69.0
99,Dr. Dre,Forgot About Dre,3.7,Rap,2000-01-22,2000-03-25,20,25.0,9.0,1st_week,75.0
100,D'Angelo,Untitled (How Does It Feel),7.16666666667,R&B,2000-01-22,2000-02-19,17,25.0,4.0,1st_week,77.0
101,"Messina, Jo Dee",That's The Way,3.28333333333,Country,2000-06-24,2000-08-26,20,25.0,9.0,1st_week,78.0
102,Avant,My First Love,4.46666666667,Rock,2000-11-04,2000-12-16,20,26.0,6.0,1st_week,70.0
103,Son By Four,A Puro Dolor (Purest Of Pain),3.5,Latin,2000-04-08,2000-08-19,26,26.0,19.0,1st_week,80.0
104,Da Brat,What'Chu Like,3.95,Rap,2000-06-03,2000-08-12,20,26.0,10.0,1st_week,71.0
105,DMX,Party Up (Up In Here),3.75,Rap,2000-02-26,2000-04-22,21,27.0,8.0,1st_week,88.0
106,"Dixie Chicks, The",Cowboy Take Me Away,4.85,Country,1999-11-27,2000-01-29,20,27.0,9.0,1st_week,79.0
107,"McGraw, Tim",My Next Thirty Years,3.61666666667,Country,2000-10-21,2000-12-16,20,27.0,8.0,1st_week,73.0
108,"Tritt, Travis",Best Of Intentions,4.25,Country,2000-08-19,2000-12-02,22,27.0,15.0,1st_week,97.0
109,Alice Deejay,Better Off Alone,6.83333333333,Electronica,2000-04-08,2000-06-03,20,27.0,8.0,1st_week,79.0
110,Hoku,Another Dumb Blonde,3.78333333333,Pop,2000-02-19,2000-04-08,14,27.0,7.0,1st_week,69.0
111,"Houston, Whitney",I Learned From The Best,4.3,Rock,2000-02-19,2000-03-25,11,27.0,5.0,1st_week,83.0
112,Counting Crows,Hanginaround,4.11666666667,Rock,1999-11-06,2000-01-29,20,28.0,12.0,1st_week,84.0
113,Mary Mary,Shackles (Praise You),3.2,Rock,2000-03-25,2000-05-13,20,28.0,7.0,1st_week,90.0
114,"Carey, Mariah",Crybaby,5.31666666667,Rock,2000-06-24,2000-06-24,7,28.0,0.0,1st_week,28.0
115,"McGraw, Tim",My Best Friend,4.55,Country,1999-11-27,2000-01-29,21,29.0,9.0,1st_week,85.0
116,Sugar Ray,Falls Apart,4.25,Rock,2000-01-15,2000-02-19,20,29.0,5.0,1st_week,70.0
117,Madonna,American Pie,4.5,Rock,2000-02-19,2000-03-04,9,29.0,2.0,1st_week,43.0
118,"Jones, Donell",Where I Wanna Be,6.36666666667,Rock,2000-04-22,2000-07-08,20,29.0,11.0,1st_week,81.0
119,"Paisley, Brad",We Danced,3.75,Country,2000-10-14,2000-12-16,20,29.0,9.0,1st_week,71.0
120,Lonestar,What About Now,3.5,Country,2000-06-10,2000-08-19,20,30.0,10.0,1st_week,78.0
121,"Backstreet Boys, The",The One,3.76666666667,Rock,2000-05-27,2000-07-01,15,30.0,5.0,1st_week,58.0
122,"Keith, Toby",How Do You Like Me Now?!,3.48333333333,Country,2000-01-29,2000-04-08,20,31.0,10.0,1st_week,77.0
123,"Strait, George",The Best Day,3.4,Country,2000-01-29,2000-04-22,20,31.0,12.0,1st_week,73.0
124,"Dixie Chicks, The",Without You,3.53333333333,Country,2000-10-07,2000-12-23,20,31.0,11.0,1st_week,80.0
125,Musiq,Just Friends (Sunny),4.03333333333,Rap,2000-10-14,2000-12-30,20,31.0,11.0,1st_week,89.0
126,"McEntire, Reba",What Do You Say,3.43333333333,Country,1999-10-30,2000-01-29,20,31.0,13.0,1st_week,88.0
127,"Braxton, Toni",Just Be A Man About It,4.16666666667,Rock,2000-07-29,2000-09-02,20,32.0,5.0,1st_week,76.0
128,"Iglesias, Enrique",Rhythm Divine,7.58333333333,Latin,1999-12-04,2000-01-22,17,32.0,7.0,1st_week,90.0
129,"Fabian, Lara",I Will Love Again,3.71666666667,Pop,2000-06-10,2000-08-12,17,32.0,9.0,1st_week,91.0
130,Bon Jovi,It's My Life,3.73333333333,Rock,2000-08-12,2000-09-30,20,33.0,7.0,1st_week,64.0
131,"Evans, Sara",Born To Fly,5.6,Country,2000-10-21,2000-12-30,20,34.0,10.0,1st_week,77.0
132,"Chesney, Kenny",I Lost It,3.9,Country,2000-10-21,2000-12-23,20,34.0,9.0,1st_week,75.0
133,J-Shin,One Night Stand,4.56666666667,R&B,1999-12-25,2000-02-26,17,34.0,9.0,1st_week,96.0
