a,a,b_top40,b_notTop40,Top_40_percent,Non_top_40_percent,ratio,count of words in all
you,you,20.0,20.0,4.5766590389,4.34782608696,1.05263157895,40
i,i,21.0,13.0,4.80549199085,2.82608695652,1.7004048583,34
me,me,14.0,11.0,3.20366132723,2.39130434783,1.33971291866,25
love,love,11.0,10.0,2.5171624714,2.17391304348,1.15789473684,21
my,my,8.0,6.0,1.83066361556,1.30434782609,1.40350877193,14
be,be,6.0,5.0,1.37299771167,1.08695652174,1.26315789474,11
up,up,2.0,7.0,0.45766590389,1.52173913043,0.300751879699,9
what,what,3.0,6.0,0.686498855835,1.30434782609,0.526315789474,9
do,do,4.0,5.0,0.91533180778,1.08695652174,0.842105263158,9
dont,dont,3.0,5.0,0.686498855835,1.08695652174,0.631578947368,8
wanna,wanna,5.0,3.0,1.14416475973,0.652173913043,1.75438596491,8
u,u,4.0,3.0,0.91533180778,0.652173913043,1.40350877193,7
your,your,3.0,4.0,0.686498855835,0.869565217391,0.789473684211,7
best,best,4.0,3.0,0.91533180778,0.652173913043,1.40350877193,7
this,this,2.0,4.0,0.45766590389,0.869565217391,0.526315789474,6
no,no,1.0,5.0,0.228832951945,1.08695652174,0.210526315789,6
