artist.inverted,track,genre,Ranking,genre
2 Pac,Baby Don't Cry (Keep Ya Head Up II),Rap,72.0,Rap
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),R&B,87.0,R&B
3 Doors Down,Kryptonite,Rock,3.0,Rock
3 Doors Down,Loser,Rock,55.0,Rock
504 Boyz,Wobble Wobble,Rap,17.0,Rap
98¡,Give Me Just One Night (Una Noche),Rock,2.0,Rock
A*Teens,Dancing Queen,Pop,95.0,Pop
Aaliyah,I Don't Wanna,Rock,35.0,Rock
Aaliyah,Try Again,Rock,1.0,Rock
"Adams, Yolanda",Open My Heart,Gospel,57.0,Gospel
"Adkins, Trace",More,Country,65.0,Country
"Aguilera, Christina",Come On Over Baby (All I Want Is You),Rock,1.0,Rock
"Aguilera, Christina",I Turn To You,Rock,3.0,Rock
"Aguilera, Christina",What A Girl Wants,Rock,1.0,Rock
Alice Deejay,Better Off Alone,Electronica,27.0,Electronica
"Allan, Gary",Smoke Rings In The Dark,Country,76.0,Country
Amber,Sexual (Li Da Di),Rock,42.0,Rock
Anastacia,I'm Outta Love,Pop,92.0,Pop
"Anthony, Marc",My Baby You,Latin,70.0,Latin
"Anthony, Marc",You Sang To Me,Latin,2.0,Latin
Avant,My First Love,Rock,26.0,Rock
Avant,Separated,Rock,23.0,Rock
BBMak,Back Here,Rock,13.0,Rock
"Backstreet Boys, The",Shape Of My Heart,Rock,9.0,Rock
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,Rock,6.0,Rock
"Backstreet Boys, The",The One,Rock,30.0,Rock
"Badu, Erkyah",Bag Lady,Rock,6.0,Rock
Baha Men,Who Let The Dogs Out,R&B,40.0,R&B
Barenaked Ladies,Pinch Me,Rock,15.0,Rock
Beenie Man,Girls Dem Sugar,Reggae,54.0,Reggae
Before Dark,Monica,Rock,77.0,Rock
"Bega, Lou",Tricky Tricky ,Rock,74.0,Rock
Big Punisher,It's So Hard,Rap,75.0,Rap
Black Rob,Whoa!,Rap,43.0,Rap
"Black, Clint",Been There,Country,44.0,Country
Blaque,Bring It All To Me,Pop,5.0,Pop
"Blige, Mary J.",Deep Inside,Rock,63.0,Rock
"Blige, Mary J.",Give Me You,Rock,68.0,Rock
Blink-182,All The Small Things,Rock,6.0,Rock
Bloodhound Gang,The Bad Touch,R&B,52.0,R&B
Bon Jovi,It's My Life,Rock,33.0,Rock
"Braxton, Toni",He Wasn't Man Enough,Rock,2.0,Rock
"Braxton, Toni",Just Be A Man About It,Rock,32.0,Rock
"Braxton, Toni",Spanish Guitar,Rock,98.0,Rock
"Brock, Chad",A Country Boy Can Survive,Country,75.0,Country
"Brock, Chad",Yes!,Country,22.0,Country
Brooks & Dunn,You'll Always Be Loved By Me,Country,55.0,Country
"Brooks, Garth",Do What You Gotta Do,Country,69.0,Country
"Byrd, Tracy",Put Your Hand In Mine,Country,76.0,Country
"Cagle, Chris",My Love Goes On And On,Country,76.0,Country
Cam'ron,What Means The World To You,Rap,83.0,Rap
"Carey, Mariah",Crybaby,Rock,28.0,Rock
