artist.inverted,track,genre,Ranking
2 Pac,Baby Don't Cry (Keep Ya Head Up II),Rap,7
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),R&B,3
3 Doors Down,Kryptonite,Rock,53
3 Doors Down,Loser,Rock,20
504 Boyz,Wobble Wobble,Rap,18
98¡,Give Me Just One Night (Una Noche),Rock,20
A*Teens,Dancing Queen,Pop,5
Aaliyah,I Don't Wanna,Rock,20
Aaliyah,Try Again,Rock,32
"Adams, Yolanda",Open My Heart,Gospel,20
"Adkins, Trace",More,Country,11
"Aguilera, Christina",Come On Over Baby (All I Want Is You),Rock,21
"Aguilera, Christina",I Turn To You,Rock,22
"Aguilera, Christina",What A Girl Wants,Rock,24
Alice Deejay,Better Off Alone,Electronica,20
"Allan, Gary",Smoke Rings In The Dark,Country,5
Amber,Sexual (Li Da Di),Rock,29
Anastacia,I'm Outta Love,Pop,3
"Anthony, Marc",My Baby You,Latin,20
"Anthony, Marc",You Sang To Me,Latin,32
Avant,My First Love,Rock,20
Avant,Separated,Rock,20
BBMak,Back Here,Rock,31
"Backstreet Boys, The",Shape Of My Heart,Rock,20
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,Rock,24
"Backstreet Boys, The",The One,Rock,15
"Badu, Erkyah",Bag Lady,Rock,20
Baha Men,Who Let The Dogs Out,R&B,20
Barenaked Ladies,Pinch Me,Rock,21
Beenie Man,Girls Dem Sugar,Reggae,15
Before Dark,Monica,Rock,9
"Bega, Lou",Tricky Tricky ,Rock,3
Big Punisher,It's So Hard,Rap,15
Black Rob,Whoa!,Rap,17
"Black, Clint",Been There,Country,20
Blaque,Bring It All To Me,Pop,29
"Blige, Mary J.",Deep Inside,Rock,15
"Blige, Mary J.",Give Me You,Rock,9
Blink-182,All The Small Things,Rock,23
Bloodhound Gang,The Bad Touch,R&B,12
Bon Jovi,It's My Life,Rock,20
"Braxton, Toni",He Wasn't Man Enough,Rock,37
"Braxton, Toni",Just Be A Man About It,Rock,20
"Braxton, Toni",Spanish Guitar,Rock,3
"Brock, Chad",A Country Boy Can Survive,Country,3
"Brock, Chad",Yes!,Country,20
Brooks & Dunn,You'll Always Be Loved By Me,Country,19
"Brooks, Garth",Do What You Gotta Do,Country,6
"Byrd, Tracy",Put Your Hand In Mine,Country,8
"Cagle, Chris",My Love Goes On And On,Country,11
Cam'ron,What Means The World To You,Rap,10
"Carey, Mariah",Crybaby,Rock,7
"Carey, Mariah",Thank God I Found You,Rock,20
"Carter, Aaron",Aaron's Party (Come Get It),R&B,15
"Carter, Torrey",Take That,Rock,7
Changing Faces,That Other Woman,Rock,11
"Chesney, Kenny",I Lost It,Country,20
"Chesney, Kenny",What I Need To Do,Country,17
Clark Family Experience,Meanwhile Back At The Ranch,Country,12
"Clark, Terri",A Little Gasoline,Country,6
Common,The Light,Rap,19
Counting Crows,Hanginaround,Rock,20
Creed,Higher,Rock,57
Creed,With Arms Wide Open,Rock,47
"Cyrus, Billy Ray",You Won't Be Lonely Now,Country,13
D'Angelo,Left & Right,R&B,5
D'Angelo,Untitled (How Does It Feel),R&B,17
DMX,Party Up (Up In Here),Rap,21
DMX,What You Want,Rap,20
DMX,What's My Name,Rap,11
Da Brat,That's What I'm Looking For,Rap,18
Da Brat,What'Chu Like,Rap,20
"Davidson, Clay",Unconditional,Country,20
De La Soul,All Good?,Rap,3
Destiny's Child,Independent Women Part I,Rock,28
Destiny's Child,Jumpin' Jumpin',Rock,32
Destiny's Child,Say My Name,Rock,32
