county,feb_sales_usd,jan_sales_usd,mar_sales_usd,q1_sales_usd,sale_usd,2015_predicted,percent_off
adair,32409.62,32221.04,38925.65,103556.31,424750.82,450791.769967,-0.0613087691435
adams,6759.18,4962.48,8613.37,20335.03,100596.8,72506.8733258,0.27923280536
allamakee,53786.16,46675.93,55526.87,155988.96,823579.28,689125.998735,0.163254812901
appanoose,51942.64,53353.26,46459.58,151755.48,835381.93,669882.58474,0.198112191941
audubon,14201.39,11089.17,13983.9,39274.46,173849.23,158596.636905,0.0877346025325
benton,60707.08,39463.17,85236.41,185406.66,726075.75,822845.061983,-0.133277157353
black hawk,1255188.49,1045383.14,1297141.51,3597713.14,16064552.82,16333589.4785,-0.0167472236236
boone,157298.25,100069.12,114278.69,371646.06,1751063.03,1669402.00246,0.0466351160063
bremer,129255.35,116252.16,161886.43,407393.94,1794322.78,1831895.09426,-0.0209395515025
buchanan,91769.52,91139.12,111664.02,294572.66,1297984.66,1319062.4841,-0.0162388853642
buena vista,161586.03,112709.85,121082.67,395378.55,1802902.99,1777278.7682,0.0142127568405
butler,22464.24,23840.46,22865.24,69169.94,283132.74,294487.463889,-0.0401038886884
calhoun,23580.85,24735.09,21205.66,69521.6,322593.15,296085.945272,0.0821691493696
carroll,167083.36,168528.61,146981.22,482593.19,2341824.75,2173715.60596,0.0717855356334
cass,100547.6,70033.92,86548.72,257130.24,1142073.39,1148866.80843,-0.00594832038645
cedar,44193.25,37805.52,33777.48,115776.25,528595.64,506337.884373,0.0421073386596
cerro gordo,405553.46,417708.9,365156.67,1188419.03,5751979.57,5382068.7451,0.0643101771136
cherokee,58632.56,45021.05,61365.37,165018.98,743338.94,730172.233332,0.0177129246962
chickasaw,32668.7,27959.08,31444.12,92071.9,379533.89,398589.029876,-0.0502066887267
clarke,37946.86,31866.06,67606.26,137419.18,665423.91,604716.490638,0.0912311963085
clay,132653.83,111982.03,128377.5,373013.36,1571856.45,1675617.10681,-0.0660115348381
clayton,46237.93,55374.83,61268.62,162881.38,702285.61,720455.706561,-0.0258728020367
clinton,254401.94,236001.86,241590.4,731994.2,3401524.7,3307375.59401,0.0276785013472
crawford,117387.7,68317.51,88558.33,274263.54,1265170.37,1226746.75235,0.0303703110342
