,store_number,city,zip_code,county,bottle_volume_ml_Q1mean,bottles_sold_Q1mean,pack_Q1mean,sale_usd_Q1total,state_bottle_retail_usd_Q1mean,volume_sold_liters_Q1mean,predicted_2016_sales_usd
0,2106,cedar falls,50613,black hawk,916.863303499,19.2066720911,11.3881204231,337804.05,15.7187794955,18.1268917819,1442948.76536
1,2113,gowrie,50543,webster,943.384223919,4.33333333333,12.0,21736.63,15.9654707379,4.09178117048,100716.541572
2,2130,waterloo,50703,black hawk,940.014436959,19.0875842156,12.1790182868,306942.27,15.2432627526,17.4906159769,1311889.1465
3,2152,rockwell,50469,cerro gordo,1039.49511401,3.52442996743,11.335504886,13752.24,14.272019544,3.72482084691,66809.5177313
4,2178,waukon,52172,allamakee,1033.01335559,7.5776293823,12.0050083472,58939.9,15.4872287145,7.6905509182,258706.339522
5,2190,des moines,50314,polk,811.0,7.99111111111,13.033015873,332979.03,19.3156380952,5.26606666667,1422458.52525
6,2191,keokuk,52632,lee,975.520134228,12.6067114094,11.4053691275,302592.88,17.1745838926,12.866261745,1293418.74733
7,2200,sac city,50583,sac,1131.64187035,4.12858660999,10.5154091392,55315.23,17.3034856536,4.56701381509,243313.582892
8,2228,winterset,50273,madison,952.052238806,5.48955223881,12.8223880597,42398.57,15.0538358209,5.21288059701,188460.864204
9,2233,spirit lake,51360,dickinson,1082.78008299,8.52489626556,10.1576763485,56241.57,18.8316182573,8.98989626556,247247.437885
10,2238,altoona,50009,polk,885.613207547,35.8867924528,10.9528301887,63272.07,24.6401886792,30.5990566038,277103.611132
11,2248,des moines,50312,polk,827.168177241,8.54279959718,12.5518630413,137416.93,20.8619838872,6.22039274924,591971.939921
12,2285,iowa city,52240,johnson,887.909710392,14.5247018739,10.531516184,158700.11,22.5955706985,12.3344463373,682354.460272
13,2290,storm lake,50588,buena vista,932.347705696,3.65150316456,11.9038765823,125731.51,15.6918512658,3.30191060127,542347.884166
14,2327,corning,50841,adams,1059.48081264,3.89841986456,11.8465011287,21834.49,16.0399322799,3.71076749436,101132.120139
15,2353,cresco,52136,howard,1126.20385233,8.17335473515,10.7335473515,76339.35,15.8087158909,9.62825040128,332595.962394
16,2413,dubuque,52001,dubuque,1009.0,12.4009302326,11.0995348837,204038.87,16.4103627907,12.2066511628,874892.953036
17,2445,oakland,51560,pottawattamie,1026.96078431,4.03081232493,12.1680672269,15689.8,14.2518487395,4.04210084034,75037.684581
18,2448,indianola,50125,warren,926.437371663,3.37474332649,12.4620123203,48545.69,15.0452669405,3.26696098563,214565.619156
19,2459,guthrie center,50115,guthrie,1008.50202429,5.14574898785,11.7570850202,16320.74,13.0337651822,5.51546558704,77717.0749442
20,2460,hampton,50441,franklin,1006.07594937,6.81518987342,11.4924050633,69206.03,15.1029493671,6.87396202532,302303.147125
21,2465,dubuque,52003,dubuque,948.961038961,4.73506493506,11.2012987013,53182.55,18.9265844156,4.31961038961,234256.806907
22,2475,west bend,50597,kossuth,1232.90697674,9.23720930233,9.45581395349,30402.43,16.9013953488,12.8966046512,137517.284923
23,2478,altoona,50009,polk,900.921658986,11.7649769585,11.0875576037,47217.4,22.6480184332,11.0783410138,208924.817455
24,2498,arlington,50606,fayette,829.901960784,4.35294117647,13.9738562092,6367.76,10.7038562092,3.62947712418,35450.1102609
25,2500,ames,50010,story,880.790711346,6.92563198119,12.0558495003,329252.09,15.1283274544,6.27610523222,1406631.46227
26,2501,ames,50010,story,905.083758938,8.56996935649,11.7269322438,332976.05,15.5439938713,7.78824310521,1422445.8702
27,2502,ankeny,50021,polk,943.183090705,9.17413213886,10.7138857783,234926.02,16.5182026876,9.34623180291,1006060.30977
28,2505,boone,50036,boone,958.205255682,7.90340909091,12.7997159091,151934.45,14.0122372159,8.16194602273,653622.973594
29,2506,burlington,52601,des moines,980.917091246,9.79759147754,11.125984252,314068.92,16.1135618342,9.62838814266,1342153.63652
30,2507,burlington,52601,des moines,960.391822828,10.5212947189,11.4752981261,61847.52,12.2909369676,8.65212947189,271054.025526
31,2508,cedar rapids,52405,linn,956.45661157,9.32024793388,10.8663911846,203644.27,21.6877548209,9.40460743802,873217.21931
32,2509,cedar rapids,52404,linn,991.179713341,11.3506063947,11.2249173098,123632.78,13.5662513782,11.8154796031,533435.282433
33,2512,iowa city,52240,johnson,936.805367308,20.0783410138,12.0783410138,1050711.75,19.0438872323,19.0030902684,4470428.43259
34,2513,iowa city,52240,johnson,893.335343788,7.07659831122,11.7394451146,149791.31,13.95053076,6.3450482509,644521.777501
35,2514,marion,50129,linn,938.408521303,13.290726817,14.022556391,61560.7,11.6304511278,16.0593483709,269835.997277
36,2515,mason city,50401,cerro gordo,972.376995764,5.7559465624,11.6282176605,260966.41,15.883655914,6.28146301727,1116645.10392
37,2517,newton,50208,jasper,929.101667563,6.46100053792,12.3356643357,160278.07,14.1121785906,6.59910166756,689055.526646
38,2518,red oak,51566,montgomery,978.373015873,7.63888888889,11.2341269841,78108.56,14.7519708995,7.59445767196,340109.203312
39,2521,west des moines,50265,polk,889.278225806,9.3220766129,12.0151209677,253886.88,15.75859375,8.46476310484,1086580.71672
