,company,number_reviews,search_city,star_rating,summary,title,website,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page
0,Cotiviti,30.0,"Atlanta, GA",3.35,This is a pioneering data scientist who will participate in expanding the new analytics backbone. Cotiviti is looking for an industry leading Data Scientist to...,Data Scientist,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbexXlh6WlNaC12RNLKcRQH8fywLm61v9KQllly0vTVrm9U0Iy0AOsYwOq9YOpDX03iprvWHw_SY6xCXG90mwLvOd8fb5BdJ-fu_-2tfp_KoWry1hPm7FaVRyBGPoeYEaNltu7W5i0j-mo3JRbnfv9fjDKHocl-PPaA54t_nU0LuKHYhZrcpw0vHpj47kOqopU6QSmWmYXvVWHNR2CzxLoO9Bbb36lQrm9dkXEzjOFO0F1O8yVPXCq8Wcl22b_eNIa__1cVuYp1K_qe98wAuNTG3gLmeuB2aE7Fqu6Gf2luR5kT_R23Op04FelalPdvo3zVdIfajcqvDI7RmIOMQp4Agc3YAT_Tzhz5WVO5KPp8yXrbTSBwnW8W5Y1Baywe5ZiB7685I_AcrFG5l2N50twz3gceaTSh5P5RH3T_0QSdi7gyR3ungTSaiRr-xDjlbhPXvvcS1iInH8TeXo3X64_&p=1&sk=&fvj=0,,,1,more than 30 days ago,1,1
1,MobileDev Power,,"Atlanta, GA",,"Authoritative quantitative analysis skills, particularly in machine learning, multivariate statistical modeling, and data mining....",Data Scientist With Predictive Modeling,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADQeWqYYwuRDGK7FTA-YzU7Qag1HzehP-FB7aWzkBO6FRyVCTNkBclA9FrQyCAXLjn4u9IP3mepDeJnt-BtuBzfosurWUx8dMI4PS2dnzCGDjcb1rqHXIXHxiVvQw9rfF11WZQLdcQkIzgltmPYW2VSpeptqKlQFd-myvhXpnwsBuKpigI5qx1JZoLljXcQZaeCU-bseX3Gb_kmh_cGHBXlvclKzEw6aaFQ4dndrNfOkrV5OxKFWnhb_fOlzQNTxQBttBJJopIwAJefJijrKQXBcgZzB1GaGE40fDWPYVGPtVAC5tdnWXFQumo0kX8h0jq-m-nU1Bh6AAANXMlxN3M3ugo4UeZUSFYJksmWTvbiiI0GykzlsnC0hKZOIoCmE3R8m4yPcgAx6d4sNAe68-U4uAWb2WLQPv2yEfU_OJETV32j8w3Q_-LosbFT-kjsfJ5Wg5FzCL3Fw==&p=2&sk=&fvj=1,,,1,7-12 days ago,1,1
2,Predictive Science,,"Atlanta, GA",,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Data Scientist,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bcgobz-t7weSGYTjoRWMIqcV9t0akB45B3k8NFJVZb5kkFpxn8bhfjltbVDjvx0bn0noTLqpSBW77839Ubfh4eL2ZvByfFlPegJkfgxbap4qbKzQXknClXAKQmaD18uRE6WyuXyxO_e8fzaqQSa7Zpn8Jr1yFQDtObTPJBXLI6XTwEbrzAcGrbjl0uwxUgOs3LUSSvxe-nS1s40s38EGLQgLYWQofqP_lYeeyVtdUDrrPJTJpGfp7cFRFtI_9pnC27Aw1m_ZjCo0jNx_KBHrNx3CIU2NvWCRoWJuX_JD-GV-0D9pYILfNYJitQNSic3Kbc0WlhfLBHxGbWmo8Jtbi0lkfs6KdyiXQj4mL5u4rhBXgCO-DoAn7q_N1DszG4wT7E74K_F3vserP3JdIzBcV01VNW0Q3uZWY=&p=3&sk=&fvj=0,,,1,7-12 days ago,0,1
3,"Vision3 Solutions, Inc",,"Atlanta, GA",,Data Scientist- Big Data*. May write code to automate reports and templates and consolidate data into reports and knowledge. 12 Months Contract*....,Data Scientist- Big Data,"http://www.indeed.com/cmp/Vision3-Solutions,-Inc/jobs/Data-Scientist-1a8c086f5f6f1294?r=1&fccid=37d33d67f3fba52b",hourly,187200.0,0,in the last day,1,1
4,FraudScope,,"Atlanta, GA",,Experience with healthcare-related data and familiarity with current methods applied to healthcare data is preferred....,Data Scientist,http://www.indeed.com/cmp/FraudScope/jobs/Data-Scientist-d72c337465398caf?r=1&fccid=e87f46501099545c,,,0,1-6 days ago,1,1
5,AT&T,14560.0,"Atlanta, GA",3.7,"Perform data studies and data discovery around new data sources or new uses for existing data sources. Design and implement processes and layouts for complex,...",AT&T Professional Data Scientist Alpharetta GA,http://www.indeed.com/rc/clk?jk=d21cbd39fb6dd414&fccid=25b5166547bbf543,,,0,1-6 days ago,0,1
6,ICF,235.0,"Atlanta, GA",3.45,"The Scientific Data Analyst will analyze quantitative epidemiological, clinical, and/or surveillance data and provide output in the format requested....",Scientific Data Analyst,http://www.indeed.com/rc/clk?jk=4a4948fe135cb354&fccid=cc35f9c14f8799a9,,,0,1-6 days ago,1,1
7,Northrop Grumman,2159.0,"Atlanta, GA",4.25,"Responsible for working with CDC antimicrobial stewardship program, supporting a multidisciplinary team of epidemiologists, statisticians, health educators,...",Scientific Data Analyst,http://www.indeed.com/rc/clk?jk=a959ea9503eb0043&fccid=11619ce0d3c2c733,,,0,7-12 days ago,1,1
8,Infor,62.0,"Atlanta, GA",3.55,"Senior Data Scientist. Working closely with Predictix Project Team, as well as Client Project Team to ensure quality work is delivered and deadlines are met....",Sr. Data Scientist,http://www.indeed.com/rc/clk?jk=cf742a5180d45499&fccid=ddf188c30da34688,,,0,in the last day,1,1
9,IgnitionOne,8.0,"Atlanta, GA",3.5,"Have experience with predictive modelling / data mining / machine learning (e.g., MLlib, R)_. Our platform currently processes 2 trillions transactions per year...",Data Scientist,http://www.indeed.com/rc/clk?jk=ece5708bd668a5e5&fccid=bd2e17bd9d57178b,,,0,19-24 days ago,1,1
10,Ashton212,,"Atlanta, GA",,"Larger scope-of-work engagements provide our consultants the opportunity to work alongside other subject matter experts.Once you’re an Ashton212 Associate, you...",Quantitative Analyst | #769,http://www.indeed.com/cmp/Ashton212/jobs/Quantitative-Analyst-01ad090d112dbb83?r=1&fccid=f0461620810fcde2,,,0,1-6 days ago,1,1
11,Macy's,14439.0,"Atlanta, GA",3.6,"Uses analytical rigor and statistical methods, machine learning, programming, data modeling, simulation and advanced mathematics to analyze large amounts of...",Data Scientist,http://www.indeed.com/rc/clk?jk=8b1060b171ddf805&fccid=6df24d87c9f05a07,,,0,13-18 days ago,1,1
12,Centers for Disease Control and Prevention,66.0,"Atlanta, GA",4.5,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",Statistician (Health),http://www.indeed.com/rc/clk?jk=1ae9fbf052162ca0&fccid=3e901f592b439cea,yearly,101553.5,0,1-6 days ago,1,1
