,company,number_reviews,search_city,star_rating,summary,title,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page,expensive_city,rating_cat
0,Cotiviti,32.0,"Atlanta, GA",3.35,This is a pioneering data scientist who will participate in expanding the new analytics backbone. Cotiviti is looking for an industry leading Data Scientist to...,Data Scientist,,,1,,1,1,0,low_rating
1,Home Depot,21615.0,"Atlanta, GA",3.65,3 years of experience in data mining and statistical analysis. Insights from data to solve business problems....,DATA SCIENTIST,,,1,in the last day,1,1,0,low_rating
2,Predictive Science,0.0,"Atlanta, GA",,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Data Scientist,,,1,,0,1,0,no_rating
3,KaarmaTech,0.0,"Atlanta, GA",,Clearly communicate the business and technical benefits of analytics and visualization to both business and technical audiences....,Data Scientist,yearly,100000.0,0,1-6 days ago,1,1,0,no_rating
4,Home Depot,21615.0,"Atlanta, GA",3.65,3 years of experience in data mining and statistical analysis. Insights from data to solve business problems....,DATA SCIENTIST,,,0,in the last day,1,1,0,low_rating
5,Ga. Dept. of Transportation,0.0,"Atlanta, GA",,"THE SELECTED APPLICANT FOR THE POSITION WILL BE SUBJECT TO A REFERENCE CHECK AND CRIMINAL BACKGROUND CHECK, WHERE APPLICABLE....",Statistical Analyst II (PG-J) - Office of Transportation Dat...,,,0,1-6 days ago,1,1,0,no_rating
6,Cotiviti,32.0,"Atlanta, GA",3.35,This is a pioneering data scientist who will participate in expanding the new analytics backbone. Cotiviti is looking for an industry leading Data Scientist to...,Data Scientist,,,0,13-18 days ago,1,1,0,low_rating
7,Centers for Disease Control and Prevention,66.0,"Atlanta, GA",4.5,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",Mathematical Statistician,yearly,101553.5,0,7-12 days ago,1,1,0,high_rating
8,Northrop Grumman,2182.0,"Atlanta, GA",4.25,"Provide high level expertise in documenting, abstracting, coding, analyzing, and interpreting scientific data contained within information systems and databases...",Scientific Data Analyst,,,0,1-6 days ago,1,1,0,high_rating
9,Intuitive Surgical,31.0,"Atlanta, GA",3.6,"Solid understanding of statistics, machine learning, and deep learning algorithms and techniques is required....",Research Scientist,,,0,1-6 days ago,1,1,0,low_rating
10,Centers for Disease Control and Prevention,66.0,"Atlanta, GA",4.5,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",Health Scientist,yearly,120002.5,0,1-6 days ago,1,1,0,high_rating
11,KaarmaTech,0.0,"Atlanta, GA",,"5+ years’ experience with data analyses/ design and solution architecture for data integration, databases, and data mining concepts for data analytics and...",Data Architect,yearly,95000.0,0,1-6 days ago,1,1,0,no_rating
12,Home Depot,21615.0,"Atlanta, GA",3.65,"Data Scientists are responsible for organizing, analyzing, and then sharing insights gleaned from data. And SQL skills (Writing complex queries to pull large...",Data Scientist Ops Research,,,0,1-6 days ago,1,1,0,low_rating
13,Home Depot,21615.0,"Atlanta, GA",3.65,"Data Scientists are responsible for organizing, analyzing, and then sharing insights gleaned from data. And SQL skills (Writing complex queries to pull large...",Data Scientist Ops Research,,,1,1-6 days ago,1,1,0,low_rating
14,MobileDev Power,0.0,"Atlanta, GA",,"Authoritative quantitative analysis skills, particularly in machine learning, multivariate statistical modeling, and data mining....",Data Scientist With Predictive Modeling,,,1,,1,1,0,no_rating
17,Predictive Science,0.0,"Atlanta, GA",,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Data Scientist,,,1,more than 30 days ago,0,2,0,no_rating
18,CHASE Professionals,174.0,"Atlanta, GA",3.65,"5 years of relevant experience in analytics, statistical/quantitative modeling and/or machine Learning tools (R, Python, etc.)....",Data Scientist - Fraud,yearly,125000.0,0,7-12 days ago,1,2,0,low_rating
20,FraudScope,0.0,"Atlanta, GA",,Experience with healthcare-related data and familiarity with current methods applied to healthcare data is preferred....,Data Scientist,,,0,more than 30 days ago,1,2,0,no_rating
21,Macy's,14774.0,"Atlanta, GA",3.6,"Uses analytical rigor and statistical methods, machine learning, programming, data modeling, simulation and advanced mathematics to analyze large amounts of...","Data Scientist (Neural Networks/Decision Tree, R, Python)",,,0,more than 30 days ago,1,2,0,low_rating
22,Turner,254.0,"Atlanta, GA",4.25,"Guides multi-disciplinary technology and operational teams and tracks implementation and project scope, resources, staff, assets and schedules to ensure the...",Implementation Consultant- Data Platform & Consumer Analytic...,,,0,7-12 days ago,1,2,0,high_rating
23,Cox Automotive,52.0,"Atlanta, GA",3.4,"Research, and exploration in the areas of statistics, machine learning,. Identify and define required data; Manage to corporate level strategies a plus....",Data Scientist Internship (Spring 2017),,,0,19-24 days ago,1,2,0,low_rating
24,North Highland,20.0,"Atlanta, GA",3.5,"Extensive experience with wide array of analytical approaches (predictive modeling and analytics, explanatory modeling, data mining, etc.)....",Business Intelligence Data Scientist,,,0,7-12 days ago,1,2,0,low_rating
25,"Intercontinental Exchange, Inc.",26.0,"Atlanta, GA",3.5,"Investigate and manage large data sets. 2 years experience using C/C++, C#, Java, SQL, VBA, R, or Python. Bachelors Degree in Engineering, Finance, Applied Math...",Quantitative Analyst (5051),,,0,7-12 days ago,1,2,0,low_rating
26,Capgemini,2135.0,"Atlanta, GA",3.65,"If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical...",Data Science Consultant,,,0,more than 30 days ago,1,2,0,low_rating
27,Target MarkeTeam,0.0,"Atlanta, GA",,As well as experience with database analytics and file manipulation using SQL and SAS or JMP. As continual improvement of new/innovative data visualization...,"Data Analyst, Predictive Modeling",,,0,19-24 days ago,1,2,0,no_rating
28,MobileDev Power,0.0,"Atlanta, GA",,"Authoritative quantitative analysis skills, particularly in machine learning, multivariate statistical modeling, and data mining....",Data Scientist With Predictive Modeling,,,1,more than 30 days ago,1,2,0,no_rating
29,Cotiviti,32.0,"Atlanta, GA",3.35,This is a pioneering data scientist who will participate in expanding the new analytics backbone. Cotiviti is looking for an industry leading Data Scientist to...,Data Scientist,,,1,13-18 days ago,1,2,0,low_rating
34,SimplePart,0.0,"Atlanta, GA",,You will be part of a team of analysts and data scientists tasked with creating and managing digital parts strategy for the world’s top automakers as well as...,Senior Analyst,,,0,13-18 days ago,1,3,0,no_rating
35,Emory University,265.0,"Atlanta, GA",4.3,"Staff Scientists will have leadership responsibilities, and will oversee quality and training of other team members....",Scientist (AR) SOM,yearly,85500.0,0,1-6 days ago,1,3,0,high_rating
36,Feedzai,0.0,"Atlanta, GA",,"Founded and developed by data scientists and aerospace engineers, Feedzai has one critical mission:. The world’s largest banks, payment providers and retailers...",Data Scientist,,,0,more than 30 days ago,1,3,0,no_rating
37,GE Power,165.0,"Atlanta, GA",4.3,"In this role, you will drive Data Governance for the organization that supports the data requirements of GE Power including functional and regional business...",Sr. Director - Data & Analytics,,,0,13-18 days ago,1,3,0,high_rating
38,Oak Ridge Associated Universities,16.0,"Atlanta, GA",3.6,"Conducting applied research that will inform better decision-making in regards to restoration, resource use, and public health;...",Compilation and Assessment of Wetlands and Streams Reference...,,,0,7-12 days ago,1,3,0,low_rating
39,Analytic Recruiting,2.0,"Atlanta, GA",4.25,"Supply Chain, SAS, R, Predictive Modeling, Predictive Analytics, SQL. Data Scientist, Supply Chain sought by Fortune 500 company to be part of a leading-edge...",Data Scientist - Supply Chain,yearly,107500.0,0,25-30 days ago,1,3,0,high_rating
40,"eTek IT Services, Inc.",0.0,"Atlanta, GA",,"Interacts with data scientists and industry experts to understand how data needs to be converted, loaded and presented. PIG scripting to manage data:....",Big Data Engineer,hourly,139360.0,0,more than 30 days ago,1,3,0,no_rating
41,Solvay,127.0,"Atlanta, GA",3.7,"Experience with analytical chemistry, physical chemistry, statistical experimental design and treatment of data....",Research Scientist,,,0,1-6 days ago,0,3,0,low_rating
42,SimplePart,0.0,"Atlanta, GA",,You will be responsible for a team of analysts and data scientists tasked with creating and managing digital parts strategy for the world’s top automakers as...,Director of Business Analytics,,,0,13-18 days ago,1,3,0,no_rating
48,Deloitte,3650.0,"Atlanta, GA",4.25,"A qualified data scientist will have hands-on experience with one or more analytics platforms – SAS, SPSS, Python, R, Hadoop....",Federal Mission Analytics Data Scientist - Senior Consultant,,,0,more than 30 days ago,1,4,0,high_rating
49,Cox Automotive,52.0,"Atlanta, GA",3.4,"Interpret and develop solutions to business problems using data analysis, data mining, optimization tools, and machine learning techniques, and statistics....",Sr. Data Scientist,,,0,25-30 days ago,1,4,0,low_rating
50,Turner,254.0,"Atlanta, GA",4.25,"Turner's Consumer Insights, Research and Analytics team provides insights and analysis about the media landscape identifying, contextualizing and socializing...","Manager, Consumer Insights & Statistical Analysis",,,0,more than 30 days ago,1,4,0,high_rating
51,Home Depot,21615.0,"Atlanta, GA",3.65,"Ensure accuracy of data sources and outputs from that data. At least one year of experience in data mining, statistical analysis, auditing/forecasting preferred...","Financial Analyst/Data Scientist, Supply Chain",,,0,1-6 days ago,1,4,0,low_rating
52,Ashton212,0.0,"Atlanta, GA",,"Larger scope-of-work engagements provide our consultants the opportunity to work alongside other subject matter experts.Once you’re an Ashton212 Associate, you...",Quantitative Analyst | #769,,,0,more than 30 days ago,1,4,0,no_rating
53,Pivotal Software,0.0,"Atlanta, GA",,"If you bring a deep focus and passion for a particular specialization within analytics (e.g., text or sentiment analytics, network/graph analytics, time series...",Sr. Data Scientist,,,0,more than 30 days ago,1,4,0,no_rating
54,SimplePart.com,0.0,"Atlanta, GA",,You will be part of a team of analysts and data scientists tasked with creating and managing digital parts strategy for the world’s top automakers as well as...,Senior Analyst,,,0,19-24 days ago,1,4,0,no_rating
55,Macy's,14774.0,"Atlanta, GA",3.6,"Uses analytical rigor and statistical methods, machine learning, programming, data modeling, simulation and advanced mathematics to analyze large amounts of...",Sr. Data Scientist,,,0,more than 30 days ago,1,4,0,low_rating
56,Centers for Disease Control and Prevention,66.0,"Atlanta, GA",4.5,Identify and analyze public health issues and their impact on scientific operations that are critical to the public health community at large....,Lead Health Scientist,yearly,120002.5,0,13-18 days ago,1,4,0,high_rating
57,Leidos,203.0,"Atlanta, GA",3.65,"Prepare preliminary interpretations of analyses for sharing with scientific and public audiences, project teams, and/or department management....",Survey Statistician,,,0,13-18 days ago,1,4,0,low_rating
63,GE Power,165.0,"Atlanta, GA",4.3,"In this role, you will support the data requirements of GE Power including functional and regional business users as well as Data Scientists who are using...",Sr Data Engineer,,,0,7-12 days ago,1,5,0,high_rating
64,Cox Automotive,52.0,"Atlanta, GA",3.4,"High levels of intellectual curiosity and drive to uncover data insights. Motivated learner, innovation and ability to manage multiple projects work....",Senior Research Analyst,,,0,19-24 days ago,1,5,0,low_rating
65,KPMG,1866.0,"Atlanta, GA",4.25,"KPMG is currently seeking a Data Scientist, to join our Advanced Data Analytics team in our Atlanta, GA office....","Data Scientist, Natural Language Processing",,,0,more than 30 days ago,1,5,0,high_rating
66,"Eagle Medical Services, LLC",0.0,"Atlanta, GA",,"Comfortable in collaborating with data scientists, epidemiologists, and professionals across the board. Assist with visualization of data....",Data Analyst,,,0,more than 30 days ago,1,5,0,no_rating
67,KPMG,1866.0,"Atlanta, GA",4.25,"Lead the design and development of tools and solutions working with data scientists, data integration teams and visualization experts to deliver analysis that...",Sr. Manager - Data Analytics,,,0,13-18 days ago,1,5,0,high_rating
68,UNITED PARCEL SERVICE,12955.0,"Atlanta, GA",3.7,Serves as a subject matter expert on the advances in Ops Research and Advanced Analytics to translate new insights into potential opportunities for UPS....,Lead Operations Research Analyst,,,0,7-12 days ago,1,5,0,low_rating
69,Karna LLC,2.0,"Atlanta, GA",3.25,"The successful candidates will provide consultation, technical and programmatic support services to senior managers, scientists and program staff in CDC’s...",Information Specialist,,,0,1-6 days ago,1,5,0,low_rating
70,Google,1278.0,"Atlanta, GA",4.40000025,"The Google Cloud training team already develops and delivers Google Cloud Platform product and solution training to thousands of partners, end-users and...","Cloud Instructor (Big Data, Machine Learning), Google Cloud...",,,0,more than 30 days ago,1,5,0,high_rating
71,HUNTER Technical Resources,5.0,"Atlanta, GA",5.0,Intuition for how data and analytics reveal insights into human behavior and business problems. Proficient in applying a broad range of machine learning...,Data Scientist,,,0,13-18 days ago,1,5,0,high_rating
72,Analytic Recruiting,2.0,"Atlanta, GA",4.25,"Senior Data Scientist and Analytics Lead with strong proficiency with Python, R, and SQL and prior experience with statistical modeling, data mining and machine...",Senior Data Scientist,yearly,112500.0,0,25-30 days ago,1,5,0,high_rating
75,Home Depot,21615.0,"Atlanta, GA",3.65,3 years of experience in data mining and statistical analysis. Insights from data to solve business problems....,DATA SCIENTIST,,,1,,1,6,0,low_rating
76,Home Depot,21615.0,"Atlanta, GA",3.65,"Data Scientists are responsible for organizing, analyzing, and then sharing insights gleaned from data. And SQL skills (Writing complex queries to pull large...",Data Scientist Ops Research,,,1,,1,6,0,low_rating
