,level_0,index,Unnamed: 0,company_name,number_reviews,search_city,star_rating,summary,title,website,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page,high_paid,is_high_level,ds_in_name,ml_in_name,lab_in_name,analyst_in_name,engineer_in_name,dev_in_name,tech_in_name,rating_cat,expensive_city,analysis,analytics,company,data,experience,health,learning,looking,machine,public,research,scientist,scientists,team,work,analyst_tit,data_tit,developer_tit,engineer_tit,engineering_tit,lead_tit,learning_tit,machine_tit,manager_tit,quantitative_tit,research_tit,science_tit,scientist_tit,senior_tit,software_tit
0,0,3,3,"Vision3 Solutions, Inc",0.0,"Atlanta, GA",,Data Scientist- Big Data*. May write code to automate reports and templates and consolidate data into reports and knowledge. 12 Months Contract*....,Data Scientist- Big Data,"http://www.indeed.com/company/Vision3-Solutions,-Inc/jobs/Data-Scientist-1a8c086f5f6f1294?r=1&fccid=37d33d67f3fba52b",hourly,187200.0,0,1-6 days ago,1,1,1,0,1,0,0,0,0,0,0,no_rating,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,12,12,Centers for Disease Control and Prevention,66.0,"Atlanta, GA",4.5,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",Behavioral Scientist,http://www.indeed.com/rc/clk?jk=a951e9b9e24f7bbb&fccid=3e901f592b439cea,yearly,101553.5,0,7-12 days ago,1,1,0,0,0,0,0,0,0,0,0,high_rating,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,19,22,Centers for Disease Control and Prevention,66.0,"Atlanta, GA",4.5,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",Statistician (Health),http://www.indeed.com/rc/clk?jk=866d281cd80097e6&fccid=3e901f592b439cea,yearly,101553.5,0,1-6 days ago,1,2,0,0,0,0,0,0,0,0,0,high_rating,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,31,39,Emory University,262.0,"Atlanta, GA",4.3,"Staff Scientists will have leadership responsibilities, and will oversee quality and training of other team members....",Staff Scientist (Goldsmith Lab),http://www.indeed.com/rc/clk?jk=f33d7a31e48bf4c7&fccid=efe5e2d22a1d29e5,yearly,85500.0,0,19-24 days ago,1,3,0,0,0,0,0,0,0,0,0,high_rating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4,48,66,Analytic Recruiting,2.0,"Atlanta, GA",4.25,"Experience with Teradata SQL, MS SQL server Data Visualization (e.g., Tableau or other), Access, Excel, Visual Basic,....",Junior Data Scientist,http://www.indeed.com/rc/clk?jk=78b9859975833fda&fccid=3b4e0f2c2deb87d6,yearly,82500.0,0,19-24 days ago,0,5,0,0,1,0,0,0,0,0,0,high_rating,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,84,117,Stackfolio,0.0,"Atlanta, GA",,A competitive full-time salary as well as a great options package that will only be available to this early batch of hires....,Lead Data Scientist,http://www.indeed.com/company/Stackfolio/jobs/Lead-Data-Scientist-be3a7444db34e9a3?r=1&fccid=5a5990c5dca07ad0,yearly,80000.0,0,more than 30 days ago,1,8,0,1,1,0,0,0,0,0,0,no_rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
6,6,115,168,Analytic Recruiting,2.0,"Atlanta, GA",4.25,"Senior Data Scientist and Analytics Lead with strong proficiency with Python, R, and SQL and prior experience with statistical modeling, data mining and machine...",Senior Data Scientist,http://www.indeed.com/rc/clk?jk=d67b0f93e14af031&fccid=3b4e0f2c2deb87d6,yearly,112500.0,0,more than 30 days ago,1,12,1,1,1,0,0,0,0,0,0,high_rating,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
7,7,133,191,Analytic Recruiting,2.0,"Atlanta, GA",4.25,"Supply Chain, SAS, R, Predictive Modeling, Predictive Analytics, SQL. Data Scientist, Supply Chain sought by Fortune 500 company to be part of a leading-edge...",Data Scientist - Supply Chain,http://www.indeed.com/rc/clk?jk=10302f159effc3d1&fccid=3b4e0f2c2deb87d6,yearly,107500.0,0,more than 30 days ago,1,13,1,0,1,0,0,0,0,0,0,high_rating,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,8,154,222,SearchBankingJobs,0.0,"Atlanta, GA",,"Lead the review and care of relevant model and model validation documentation, complete in depth analysis on large data sets, and formulate analysis and reports...",Lead Quantitative Analyst,http://www.indeed.com/rc/clk?jk=7fad02838ce4dbb3&fccid=2bb3537b276c1f70,yearly,177500.0,0,more than 30 days ago,1,15,1,1,0,0,0,1,0,0,0,no_rating,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9,9,162,235,Georgia Department of Public Health,29.0,"Atlanta, GA",3.6,"Under broad supervision, assists technicians and laboratory scientists with data or specimen collection and laboratory procedures....",Laboratory Aide 3,http://www.indeed.com/cmp/Georgia-Department-of-Public-Health/jobs/Laboratory-Aide-78688cd82bfd50aa?r=1&fccid=8f83b455df0b0575,yearly,24000.0,0,25-30 days ago,1,16,0,0,0,0,1,0,0,0,0,low_rating,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
